post_id,question,user_stage,tag
78,"My belly is become tight from yesterday, baby movement also down..thoda pain v hay..as per my Dr I'll do my usg end of this wk.. But aisa hota h kya.. Itna tight feeling kavi nehi hua.. Kuch kha v nehi sakti",pregnant,General Pregnancy
79,Has anybody undergone amniocentesis? Any idea about it. Are the results 100% accurate,pregnant,General Pregnancy
80,Kya mylo pe apne mob no dene se Koi problem to nhi h plzz reply,pregnant,MyloSupport
81,I put question in app but i look answers in notification but i can touch the notification but didn't get answer of my question how to reached,ttc,MyloSupport
82,Jwab nhi milte yha,pregnant,MyloSupport
83,I can't shop on here.. it's shows Product for You COming Soon ...why????,mother,MyloSupport
84,How to cure cold and cough in babies my baby is just 25 days is suffering from it and Am giving medication as prescribed but there is no improvement seen,mother,General Baby
85,Is app P 2 3 din s problem ho rahi h 1 comment 3 bar post ho raha h esa or bhi kisi k sath ho raha h,pregnant,MyloSupport
86,Hi I just entered into my 6th week pregnancy I confirmed it by home kit it came positive. When should I go for my first ultrasound to get clear confirmation?,pregnant,General Pregnancy
87,Gave birth to baby boy through c-sec on 7th jan at 5:44 am. Baby is healthy and weighed 3.9 kg.. Thanks to all my  fellow mommies for the support,mother,Announcements&Celebrations
88,"My husband is intercoursing while doing sex but he is not ejaculating and orgasm not getting to him.. Is there any ayurvedic remedy to that.... Recently only we have started our sex.. Is it because of fear to sex, plz give suggestions",ttc,Love&Relationships
89,Hi mom's mujhe second babby girl Hui h. Phle bhi beti h. M aur mere hubby dono betiyon se khush h aur bachha bhi nai chahte. But family wale chahte h beta ho. Bolte h ek chance to aur Lena hoga. Bt m nai chahti. Kya kru roj sun sunkr tention hoti h,mother,Love&Relationships
91,Hi all mere pas phle ek girl baby hai.now I m 2nd Tim pregnant.jo bhi merko dekhta h khta ab to beta hi hona chaiye.sbne expectations lga ki Hain boy baby ki.i m very depressed now .jb bhi dekho yhi topic.mere husband ko koi prblm ni h boy ya girl se .bt or sb expectations lga k bethe h boy ki .Kya kru m ?,pregnant,Gossip
92,"Dear mylo ladies, technical issues ki wajah se kuch users ki app slow chal rahi hai. We know it's irritating but don't worry, Humari team isse theek kar rahi hai. App jald hi fit n fine hogi. Aap ke sahayog ke liye dhanyawad ???",mother,Announcements&Celebrations
93,"Is sex is safe during pregnancy of 17th week, and If yes let me know from which month to which month sex is safe?",pregnant,General Pregnancy
95,Hello everyone.. My 35th week running.. Dnt knw why I dnt feel happy.. Kuch accha Hi nei lgta.. Na kuch khane ka Maan karta Hai na baat krne na.. Lgta Hai Mera duniya me koi nei Hai.. Rone na Maan krta Hai.. Anyone else who has this type of feelings? Nd is it normal??,pregnant,General Pregnancy
96,Blessed with a Baby boy after so much of labour pain. Double enjoyment of New Year,mother,Announcements&Celebrations
97,I want to ask you one thing guys....i am loosing int in sex...mera mann nhi krta sex kene ka...husbnd naraz hone lag gye h ab to....pls help,ttc,Love&Relationships
98,Mujhe bhut depressed feel ho rha h.need bhi nhi aa rhi rat me n gussa b aa rhi.meri sis in law bhut paresan kr rhi. Mujhe Rona b aata h bhut,pregnant,Gossip
99,Most precious New year gift ....god give to me like a new life lines... Thanku god...,mother,Announcements&Celebrations
100,Apna post delete kaise kren,pregnant,MyloSupport
101,Why I'm not able to buy any of the products from this app?,mother,MyloSupport
103,Yr mai fed up ho chuki hun meri mil se ?? Yahan nhi rehti to phone par aaag lgati h husband se; wo bhi unki ki baat sunte h kya karun??,pregnant,Gossip
104,why i can't remove mobile *******,pregnant,MyloSupport
105,Guys is it ok to vermicelli to my 8th month old baby....??,mother,General Baby
106,Happy new year all mylo family ????????? ??? ?? ???? ?? ???? ?????? ?? ??  ?? ?? ???? 2020 ?? ??????? ?????????? ?? ???? ??? ...,pregnant,Announcements&Celebrations
107,Thenkeww everyone for ur blessing support n suggestions Blessed with baby girl on 20th jan 2020,mother,Announcements&Celebrations
110,i m clicking on shop then showing product page but it is showing coming soon but this page is not clear and not open i m trying many times to open this page ....please help me,mother,MyloSupport
111,Hello mommies Kl se mera 40 week start ho jayega but koi bhi labour pain k signs nhi h samajh nhi aa rha kuchh bhi kya koi aur bhi ye experience kr rha h... Kl mera doctor visit h,pregnant,General Pregnancy
116,Garbha sanskar kya hota hai?? Or kya music kesa sunte h isme,pregnant,Gossip
127,i feel unhappy with the answers and its get too late to answer the questions. with experience moms and docs. when we have any doubt then only we ask and we get reply very late.,mother,MyloSupport
